ID,Player,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
1, Connor McDavid,EDM,21,C,Left,78,41,75,116,1.49,3,240,0.17,22:50,33.83,240,423,327,1.13,8.08,14.25,11.01,-,-,-,-,-,,UFA,"$12,500,000","$15,000,000"
2, John Tavares,TOR,27,C,Left,82,47,41,88,1.07,19,286,0.16,19:05,40.88,286,485,401,1.57,10.96,18.59,15.37,-,-,-,-,-,NMC,UFA,"$11,000,000","$15,900,000"
3, Patrick Kane,CHI,29,RW,Left,81,44,66,110,1.36,2,341,0.13,22:29,34.21,341,598,454,1.12,11.23,19.7,14.96,-,-,-,-,-,NMC,UFA,"$10,500,000","$12,000,000"
4, Jonathan Toews,CHI,30,C,Left,82,35,46,81,0.99,2,235,0.15,21:00,27.54,236,355,291,0.96,8.22,12.37,10.14,-,-,-,-,-,NMC,UFA,"$10,500,000","$12,000,000"
5, Carey Price,MTL,30,G,Left,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,24,4,2.49,0.918,NMC,UFA,"$10,500,000","$15,000,000"
6, William Nylander,TOR,22,"RW, LW",Right,54,7,20,27,0.5,-4,130,0.05,15:30,13.52,130,246,190,0.97,9.31,17.62,13.61,-,-,-,-,-,,UFA,"$10,277,778","$12,000,000"
7, Anze Kopitar,LAK,30,C,Left,81,22,38,60,0.74,-20,156,0.14,22:18,20.68,156,298,227,0.69,5.18,9.9,7.54,-,-,-,-,-,NMC,UFA,"$10,000,000","$12,000,000"
8, Jack Eichel,BUF,21,C,Right,77,28,54,82,1.06,-11,303,0.09,20:26,27.83,303,485,392,1.06,11.55,18.48,14.94,-,-,-,-,-,,UFA,"$10,000,000","$10,000,000"
9, Alex Ovechkin,WSH,32,"LW, RW",Right,81,51,38,89,1.1,7,338,0.15,20:55,37.49,338,668,501,1.33,11.97,23.65,17.73,-,-,-,-,-,M-NTC,UFA,"$9,538,462","$10,000,000"
10, Evgeni Malkin,PIT,31,C,Left,68,21,51,72,1.06,-25,187,0.11,18:48,19.85,188,324,245,0.93,8.82,15.2,11.5,-,-,-,-,-,NMC,UFA,"$9,500,000","$9,500,000"
11, Jamie Benn,DAL,28,LW,Left,78,27,26,53,0.68,14,189,0.14,18:13,26.53,189,329,255,1.12,7.98,13.88,10.76,-,-,-,-,-,NMC,UFA,"$9,500,000","$13,000,000"
12,P.K. Subban,NJD,29,RD,Right,63,9,22,31,0.49,5,168,0.05,22:39,5.82,168,306,226,0.24,7.06,12.86,9.5,-,-,-,-,-,,UFA,"$9,000,000","$10,000,000"
13, Sidney Crosby,PIT,30,C,Left,79,35,65,100,1.27,18,220,0.16,20:59,29.81,220,348,290,1.08,7.96,12.59,10.49,-,-,-,-,-,NMC,UFA,"$8,700,000","$10,000,000"
14, Steven Stamkos,TBL,28,"C, RW",Right,82,45,53,98,1.2,4,234,0.19,18:18,25.51,234,425,328,1.02,9.36,16.98,13.11,-,-,-,-,-,NMC,UFA,"$8,500,000","$9,500,000"
15, Leon Draisaitl,EDM,22,"C, LW, RW",Left,82,50,55,105,1.28,2,231,0.22,22:35,30.07,231,404,311,0.97,7.48,13.09,10.07,-,-,-,-,-,,UFA,"$8,500,000","$9,000,000"
16, Henrik Lundqvist,NYR,36,G,Left,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,23,0,3.07,0.907,NMC,UFA,"$8,500,000","$7,500,000"
17, Claude Giroux,PHI,30,"LW, C, RW",Right,82,22,63,85,1.04,9,229,0.1,21:27,18.26,229,419,317,0.62,7.81,14.29,10.81,-,-,-,-,-,NMC,UFA,"$8,275,000","$9,000,000"
18, Ryan Getzlaf,ANA,33,C,Right,67,14,34,48,0.72,-19,133,0.11,19:27,12.51,133,271,208,0.57,6.12,12.47,9.57,-,-,-,-,-,NMC,UFA,"$8,250,000","$8,950,000"
19, Jakub Voracek,PHI,28,"RW, LW",Left,78,20,46,66,0.85,-16,210,0.1,18:40,19.77,210,383,285,0.81,8.65,15.78,11.74,-,-,-,-,-,,UFA,"$8,250,000","$9,250,000"
20, Phil Kessel,ARI,30,RW,Right,82,27,55,82,1,-19,215,0.13,17:58,24.47,215,370,281,1,8.75,15.06,11.44,-,-,-,-,-,"M-NTC, NMC",UFA,"$8,000,000","$7,000,000"
21, Ryan Johansen,NSH,25,"C, RW",Right,80,14,50,64,0.8,7,136,0.1,19:33,15.74,136,225,174,0.6,5.22,8.63,6.67,-,-,-,-,-,,UFA,"$8,000,000","$8,000,000"
22, John Carlson,WSH,28,RD,Right,80,13,57,70,0.88,21,185,0.07,25:03:00,11.08,185,397,267,0.33,5.54,11.88,7.99,-,-,-,-,-,M-NTC,UFA,"$8,000,000","$12,000,000"
23, Brent Burns,SJS,33,RD,Right,82,16,67,83,1.01,13,300,0.05,25:05:00,14.32,300,689,435,0.42,8.75,20.09,12.68,-,-,-,-,-,M-NTC,UFA,"$8,000,000","$10,000,000"
24, Victor Hedman,TBL,27,LD,Left,70,12,42,54,0.77,24,182,0.07,22:46,11.01,182,328,254,0.41,6.85,12.35,9.56,-,-,-,-,-,NMC,UFA,"$7,875,000","$8,000,000"
25, Shea Weber,MTL,32,RD,Right,58,14,19,33,0.57,15,166,0.08,23:29,6.98,166,339,251,0.31,7.32,14.95,11.07,-,-,-,-,-,,UFA,"$7,857,143","$6,000,000"
26, Evgeny Kuznetsov,WSH,26,C,Left,76,21,51,72,0.95,7,193,0.11,18:47,23.26,193,335,280,0.98,8.11,14.07,11.76,-,-,-,-,-,,UFA,"$7,800,000","$10,000,000"
27, Zach Parise,MIN,33,LW,Left,74,28,33,61,0.82,-2,229,0.12,18:40,28.03,229,345,290,1.22,9.94,14.98,12.6,-,-,-,-,-,NMC,UFA,"$7,538,461","$9,000,000"
28, Ryan Suter,MIN,33,LD,Left,82,7,40,47,0.57,-8,136,0.05,26:41:00,6.76,136,318,209,0.19,3.73,8.72,5.73,-,-,-,-,-,NMC,UFA,"$7,538,461","$9,000,000"
29, Jason Spezza,TOR,35,"C, RW",Right,76,8,19,27,0.36,-13,121,0.07,13:16,10.63,121,215,164,0.63,7.2,12.79,9.76,-,-,-,-,-,"M-NTC, NMC",UFA,"$7,500,000","$7,500,000"
30, Aaron Ekblad,FLA,22,RD,Right,82,13,24,37,0.45,1,180,0.07,23:38,9.31,180,315,230,0.28,5.57,9.75,7.12,-,-,-,-,-,,UFA,"$7,500,000","$7,000,000"
31, Vladimir Tarasenko,STL,26,RW,Left,76,33,35,68,0.89,8,275,0.12,18:23,28.31,275,491,356,1.22,11.81,21.09,15.29,-,-,-,-,-,,UFA,"$7,500,000","$7,000,000"
32, Ryan O'Reilly,STL,27,C,Left,82,28,49,77,0.94,22,234,0.12,20:45,27.34,234,368,305,0.96,8.25,12.98,10.75,-,-,-,-,-,,UFA,"$7,500,000","$8,500,000"
33, Sergei Bobrovsky,FLA,29,G,Left,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,24,9,2.58,0.913,NMC,UFA,"$7,425,000","$6,200,000"
34, Mark Stone,VGK,26,RW,Right,77,33,40,73,0.95,17,199,0.17,19:53,23.42,199,345,274,0.92,7.8,13.52,10.74,-,-,-,-,-,,UFA,"$7,350,000","$7,350,000"
35, Kris Letang,PIT,31,RD,Right,65,16,40,56,0.86,13,206,0.08,25:57:00,10.39,206,379,265,0.37,7.33,13.48,9.42,-,-,-,-,-,"M-NTC, NMC",UFA,"$7,250,000","$7,250,000"
36, David Krejci,BOS,32,C,Right,81,20,53,73,0.9,7,139,0.14,17:40,14.32,139,241,203,0.6,5.82,10.1,8.51,-,-,-,-,-,NMC,UFA,"$7,250,000","$7,500,000"
37, James van Riemsdyk,PHI,29,LW,Left,66,27,21,48,0.73,-10,167,0.16,16:36,19.93,167,262,206,1.09,9.14,14.35,11.28,-,-,-,-,-,,UFA,"$7,000,000","$8,000,000"
38, Drew Doughty,LAK,28,RD,Right,82,8,37,45,0.55,-34,154,0.05,26:35:00,8.01,154,318,218,0.22,4.24,8.76,6,-,-,-,-,-,NMC,UFA,"$7,000,000","$7,650,000"
39, Marc-Édouard Vlasic,SJS,31,LD,Left,72,3,22,25,0.35,-6,100,0.03,21:02,5.41,100,236,152,0.21,3.96,9.35,6.02,-,-,-,-,-,NMC,UFA,"$7,000,000","$7,250,000"
40, Pekka Rinne,NSH,35,G,Left,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,19,4,2.42,0.918,"M-NTC, NMC",UFA,"$7,000,000","$7,000,000"
41, Tuukka Rask,BOS,31,G,Left,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,13,4,2.48,0.912,M-NTC,UFA,"$7,000,000","$7,000,000"
42, Evander Kane,SJS,26,LW,Left,75,30,26,56,0.75,-4,268,0.11,18:24,27.17,268,446,351,1.18,11.65,19.38,15.25,-,-,-,-,-,M-NTC,UFA,"$7,000,000","$9,000,000"
43, Ryan Kesler,ANA,33,"C, RW",Right,60,5,3,8,0.13,-19,86,0.06,16:29,9.19,86,149,123,0.56,5.21,9.02,7.46,-,-,-,-,-,NMC,UFA,"$6,875,000","$6,675,000"
44, Patrice Bergeron,BOS,32,C,Right,65,32,47,79,1.22,23,205,0.16,18:28,26.51,205,369,299,1.33,10.25,18.44,14.95,-,-,-,-,-,NMC,UFA,"$6,875,000","$6,875,000"
45, Brent Seabrook,CHI,33,RD,Right,78,5,23,28,0.36,-6,165,0.03,19:05,6.66,165,303,206,0.27,6.65,12.21,8.3,-,-,-,-,-,NMC,UFA,"$6,875,000","$9,000,000"
46, Johnny Gaudreau,CGY,24,LW,Left,82,36,63,99,1.21,18,245,0.15,20:04,28.23,245,436,338,1.03,8.93,15.89,12.32,-,-,-,-,-,,UFA,"$6,750,000","$6,750,000"
47, Mark Giordano,CGY,34,LD,Left,78,17,57,74,0.95,39,221,0.08,24:14:00,12.34,221,490,334,0.39,7.01,15.55,10.6,-,-,-,-,-,NTC,UFA,"$6,750,000","$6,750,000"
48, Nicklas Bäckström,WSH,30,C,Left,80,22,52,74,0.93,2,169,0.13,19:57,18.97,169,287,226,0.71,6.35,10.79,8.5,-,-,-,-,-,M-NTC,UFA,"$6,700,000","$7,500,000"
49, David Pastrnak,BOS,22,RW,Right,66,38,43,81,1.23,6,235,0.16,18:45,24.59,235,431,339,1.19,11.39,20.89,16.43,-,-,-,-,-,,UFA,"$6,666,666","$8,000,000"
50, Jimmy Schuldt,VGK,23,LD,Left,1,0,1,1,1,-1,1,0,21:03,0.03,1,2,2,0.09,2.85,5.7,5.7,-,-,-,-,-,,10.2(c),"$6,567,500","$925,000"
51, Cam Fowler,ANA,26,LD,Left,59,5,18,23,0.39,-14,88,0.06,23:22,4.67,88,207,119,0.2,3.83,9.01,5.18,-,-,-,-,-,M-NTC,UFA,"$6,500,000","$7,500,000"
52, Erik Karlsson,SJS,28,RD,Right,53,3,42,45,0.85,6,169,0.02,24:29:00,7.56,169,389,250,0.35,7.81,17.98,11.56,-,-,-,-,-,M-NTC,UFA,"$6,500,000","$7,500,000"
53, Derek Stepan,ARI,28,C,Right,72,15,20,35,0.49,-2,195,0.08,19:13,17.91,195,310,250,0.78,8.44,13.44,10.84,-,-,-,-,-,,UFA,"$6,500,000","$6,000,000"
54, Paul Stastny,VGK,32,C,Left,50,13,29,42,0.84,14,103,0.13,18:06,15.73,103,161,142,1.04,6.83,10.67,9.41,-,-,-,-,-,M-NTC,UFA,"$6,500,000","$7,500,000"
55, Alex Pietrangelo,STL,28,RD,Right,71,13,28,41,0.58,2,168,0.08,24:04:00,10.11,168,357,233,0.36,5.9,12.53,8.18,-,-,-,-,-,NTC,UFA,"$6,500,000","$7,000,000"
56, Sean Monahan,CGY,23,C,Left,78,34,48,82,1.05,7,211,0.16,19:03,31.81,211,359,278,1.28,8.52,14.49,11.22,-,-,-,-,-,,UFA,"$6,375,000","$6,750,000"
57, Keith Yandle,FLA,31,LD,Left,82,9,53,62,0.76,-17,199,0.05,22:26,8.67,199,408,279,0.28,6.49,13.3,9.1,-,-,-,-,-,NMC,UFA,"$6,350,000","$7,500,000"
58, Nathan MacKinnon,COL,22,"C, RW",Right,82,41,58,99,1.21,20,365,0.11,22:05,35.08,365,589,455,1.15,12.09,19.51,15.07,-,-,-,-,-,,UFA,"$6,300,000","$6,750,000"
59, Alexander Radulov,DAL,31,RW,Left,70,29,43,72,1.03,22,209,0.14,19:46,25.27,210,368,275,1.09,9.1,15.94,11.92,-,-,-,-,-,NMC,UFA,"$6,250,000","$8,000,000"
60, Connor Hellebuyck,WPG,25,G,Left,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,23,2,2.9,0.913,,UFA,"$6,166,666","$7,000,000"
61, Mark Scheifele,WPG,25,C,Right,82,38,46,84,1.02,8,199,0.19,21:51,28.74,199,335,273,0.96,6.66,11.21,9.14,-,-,-,-,-,,UFA,"$6,125,000","$6,750,000"
62, Brad Marchand,BOS,30,LW,Left,79,36,64,100,1.27,15,231,0.16,19:37,27.63,231,430,327,1.07,8.94,16.64,12.66,-,-,-,-,-,NMC,UFA,"$6,125,000","$8,000,000"
63, Braden Holtby,WSH,28,G,Left,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,19,3,2.82,0.911,M-NTC,UFA,"$6,100,000","$5,000,000"
64, Dylan Larkin,DET,21,"C, LW",Left,76,32,41,73,0.96,-6,287,0.11,21:50,28.42,287,494,382,1.03,10.37,17.86,13.81,-,-,-,-,-,,UFA,"$6,100,000","$6,750,000"
65, Henrik Zetterberg,DET,37,C,Left,0,0,0,0,0,0,0,0,,,,,,,,,,-,-,-,-,-,,UFA,"$6,083,333","$3,350,000"
66, Kyle Turris,NSH,28,C,Right,55,7,16,23,0.42,-6,78,0.09,15:41,6.68,78,146,114,0.46,5.42,10.15,7.93,-,-,-,-,-,,UFA,"$6,000,000","$6,000,000"
67, Taylor Hall,ARI,26,LW,Left,33,11,26,37,1.12,-6,113,0.1,19:41,12.08,113,207,153,1.12,10.44,19.12,14.13,-,-,-,-,-,,UFA,"$6,000,000","$6,000,000"
68, Jordan Eberle,NYI,28,RW,Right,78,19,18,37,0.47,-6,160,0.12,16:31,18.82,160,255,213,0.88,7.45,11.87,9.91,-,-,-,-,-,,UFA,"$6,000,000","$6,000,000"
69, Ryan Nugent-Hopkins,EDM,25,"C, LW",Left,82,28,41,69,0.84,-13,208,0.13,20:06,23.46,208,357,273,0.85,7.57,12.99,9.94,-,-,-,-,-,,UFA,"$6,000,000","$6,000,000"
70, Brandon Saad,CHI,25,"RW, LW",Left,80,23,24,47,0.59,-9,195,0.12,17:41,23.31,195,318,260,0.99,8.27,13.48,11.02,-,-,-,-,-,,UFA,"$6,000,000","$6,750,000"
71, Corey Crawford,CHI,33,G,Left,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,18,2,2.93,0.908,"M-NTC, NMC",UFA,"$6,000,000","$6,000,000"
72, David Backes,ANA,34,"C, RW",Right,70,7,13,20,0.29,0,129,0.05,13:02,10.34,129,199,167,0.68,8.49,13.09,10.99,-,-,-,-,-,NMC,UFA,"$6,000,000","$6,000,000"
73, Matt Duchene,NSH,27,"C, LW",Left,73,31,39,70,0.96,-3,172,0.18,18:49,21.67,172,275,227,0.95,7.51,12,9.91,-,-,-,-,-,,UFA,"$6,000,000","$6,500,000"
74, Joe Pavelski,DAL,33,"RW, C",Right,75,38,26,64,0.85,-4,188,0.2,19:02,27.53,188,297,251,1.15,7.9,12.48,10.54,-,-,-,-,-,M-NTC,UFA,"$6,000,000","$6,000,000"
75, Logan Couture,SJS,29,"C, LW",Left,81,27,43,70,0.86,-6,204,0.13,18:35,23.46,204,361,288,0.93,8.13,14.38,11.47,-,-,-,-,-,M-NTC,UFA,"$6,000,000","$6,000,000"
76, Erik Johnson,COL,30,RD,Right,80,7,18,25,0.31,8,144,0.05,21:48,6.31,144,283,190,0.22,4.95,9.73,6.53,-,-,-,-,-,"M-NTC, NMC",UFA,"$6,000,000","$6,000,000"
77, Filip Forsberg,NSH,23,LW,Right,64,28,22,50,0.78,8,217,0.13,18:36,25.04,217,435,318,1.26,10.93,21.91,16.01,-,-,-,-,-,,UFA,"$6,000,000","$6,000,000"
78, Jordan Staal,CAR,29,"C, LW",Left,50,11,17,28,0.56,6,121,0.09,18:17,15.87,121,197,159,1.04,7.94,12.93,10.44,-,-,-,-,-,NMC,UFA,"$6,000,000","$6,000,000"
79, Loui Eriksson,VAN,32,"LW, RW",Left,81,11,18,29,0.36,-11,107,0.1,14:03,13.03,107,170,145,0.69,5.64,8.94,7.64,-,-,-,-,-,NTC,UFA,"$6,000,000","$7,000,000"
80, Milan Lucic,CGY,30,LW,Left,79,6,14,20,0.25,-9,74,0.08,13:14,10.55,74,170,126,0.61,4.25,9.75,7.23,-,-,-,-,-,NMC,UFA,"$6,000,000","$7,000,000"
81, Kyle Okposo,BUF,30,RW,Right,78,14,15,29,0.37,-9,147,0.1,13:47,12.19,147,232,186,0.68,8.19,12.95,10.38,-,-,-,-,-,M-NTC,UFA,"$6,000,000","$6,000,000"
82, Johnny Boychuk,NYI,34,RD,Right,74,3,16,19,0.26,10,157,0.02,18:49,5.59,157,324,226,0.24,6.76,13.95,9.73,-,-,-,-,-,NMC,UFA,"$6,000,000","$6,500,000"
83, Matt Dumba,MIN,23,RD,Right,32,12,10,22,0.69,-5,93,0.13,23:22,5.73,93,200,130,0.46,7.46,16.04,10.43,-,-,-,-,-,,UFA,"$6,000,000","$5,200,000"
84, Cory Schneider,NJD,32,G,Left,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,13,1,3.06,0.903,NTC,UFA,"$6,000,000","$6,000,000"
85, Nikolaj Ehlers,WPG,22,"RW, LW",Left,62,21,16,37,0.6,2,158,0.13,15:45,14.81,159,266,207,0.91,9.76,16.32,12.71,-,-,-,-,-,,UFA,"$6,000,000","$6,250,000"
86, Artemi Panarin,NYR,26,LW,Right,79,28,59,87,1.1,14,191,0.15,19:51,18.09,191,359,257,0.69,7.31,13.73,9.83,-,-,-,-,-,,UFA,"$6,000,000","$6,000,000"
87, Jonathan Huberdeau,FLA,25,"LW, C",Left,82,30,62,92,1.12,-14,226,0.13,18:51,25.74,226,358,299,1,8.77,13.89,11.6,-,-,-,-,-,,UFA,"$5,900,000","$6,200,000"
88, Aleksander Barkov,FLA,22,C,Left,82,35,61,96,1.17,-3,206,0.17,22:21,24.72,206,318,277,0.81,6.74,10.41,9.07,-,-,-,-,-,,UFA,"$5,900,000","$6,250,000"
89, Semyon Varlamov,NYI,30,G,Left,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,19,2,2.87,0.909,,UFA,"$5,900,000","$5,500,000"
90, Dustin Brown,LAK,33,"RW, LW",Right,72,22,29,51,0.71,-17,180,0.12,20:24,18.22,180,296,231,0.74,7.35,12.09,9.43,-,-,-,-,-,M-NTC,UFA,"$5,875,000","$5,500,000"
91, Cam Atkinson,CBJ,29,"RW, LW",Right,80,41,28,69,0.86,3,295,0.14,19:22,32.93,295,487,411,1.27,11.42,18.85,15.91,-,-,-,-,-,NTC,UFA,"$5,875,000","$7,375,000"
92, Brandon Dubinsky,CBJ,32,"C, LW",Left,61,6,8,14,0.23,-16,63,0.1,12:21,7.33,63,96,77,0.57,5.01,7.64,6.13,-,-,-,-,-,"M-NTC, NMC",UFA,"$5,850,000","$5,850,000"
93, Ryan Callahan,-,33,RW,Right,52,7,10,17,0.33,7,76,0.09,11:08,7.75,76,111,96,0.8,7.87,11.5,9.94,-,-,-,-,-,"M-NTC, NMC",UFA,"$5,800,000","$4,700,000"
94, Jonathan Quick,LAK,32,G,Left,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,23,2,3.38,0.888,,UFA,"$5,800,000","$7,000,000"
95, Marc-André Fleury,VGK,33,G,Left,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,21,8,2.51,0.913,"M-NTC, NMC",UFA,"$5,750,000","$5,750,000"
96, Tyler Seguin,DAL,26,"C, RW",Right,82,33,47,80,0.98,17,334,0.1,20:44,35.99,334,566,432,1.27,11.78,19.96,15.24,-,-,-,-,-,NMC,UFA,"$5,750,000","$6,500,000"
97, Martin Jones,SJS,28,G,Left,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,19,3,2.94,0.896,M-NTC,UFA,"$5,750,000","$6,750,000"
98, Matt Niskanen,PHI,31,RD,Right,80,8,17,25,0.31,-3,143,0.06,21:55,4.88,143,256,185,0.17,4.88,8.75,6.33,-,-,-,-,-,M-NTC,UFA,"$5,750,000","$5,750,000"
99,T.J. Oshie,WSH,31,RW,Right,69,25,29,54,0.78,5,143,0.17,18:36,20.32,144,263,219,0.95,6.73,12.29,10.23,-,-,-,-,-,M-NTC,UFA,"$5,750,000","$7,500,000"
100, Alexander Steen,STL,34,"LW, RW, C",Left,65,10,17,27,0.42,2,114,0.09,15:50,10.19,114,186,146,0.59,6.64,10.84,8.51,-,-,-,-,-,NTC,UFA,"$5,750,000","$7,000,000"
101, James Neal,EDM,30,"RW, LW",Left,63,7,12,19,0.3,-5,141,0.05,14:57,13.43,141,235,192,0.86,8.98,14.96,12.22,-,-,-,-,-,,UFA,"$5,750,000","$5,750,000"
102, Dougie Hamilton,CAR,25,RD,Right,82,18,21,39,0.48,0,259,0.07,19:40,14.4,259,542,367,0.54,9.63,20.16,13.65,-,-,-,-,-,,UFA,"$5,750,000","$5,750,000"
103, Mikael Granlund,NSH,26,"C, RW",Left,79,16,38,54,0.68,-8,189,0.08,18:20,16.95,189,329,252,0.7,7.83,13.62,10.43,-,-,-,-,-,,UFA,"$5,750,000","$5,500,000"
104, Travis Zajac,NJD,33,C,Right,80,19,27,46,0.58,-25,120,0.16,19:16,15.58,120,197,156,0.61,4.67,7.67,6.07,-,-,-,-,-,NTC,UFA,"$5,750,000","$6,500,000"
105, Jeff Skinner,BUF,26,"LW, RW",Left,82,40,23,63,0.77,0,268,0.15,18:31,30.42,268,431,355,1.2,10.59,17.03,14.03,-,-,-,-,-,NMC,UFA,"$5,725,000","$6,000,000"
106, Marc Staal,NYR,31,LD,Left,79,3,10,13,0.16,-9,84,0.04,19:25,3.67,84,170,108,0.14,3.29,6.65,4.22,-,-,-,-,-,NMC,UFA,"$5,700,000","$6,000,000"
